Club,Stadium,Website
Arsenal,Emirates Stadium,https://www.arsenal.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Aston Villa,Villa Park,https://www.avfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Barnsley,Oakwell,https://www.premierleague.com/clubs/30/Barnsley/overview
Birmingham City,St. Andrew's Trillion Trophy Stadium,https://www.premierleague.com/clubs/35/Birmingham-City/overview
Blackburn Rovers,Ewood Park,https://www.premierleague.com/clubs/3/Blackburn-Rovers/overview
Blackpool,Bloomfield Road,https://www.premierleague.com/clubs/44/Blackpool/overview
Bolton Wanderers,University of Bolton Stadium,https://www.premierleague.com/clubs/27/Bolton-Wanderers/overview
AFC Bournemouth,Vitality Stadium,http://www.afcb.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Bradford City,Valley Parade,https://www.premierleague.com/clubs/32/Bradford-City/overview
Brentford,Brentford Community Stadium,https://www.brentfordfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Brighton and Hove Albion,Amex Stadium,https://www.brightonandhovealbion.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Burnley,Turf Moor,http://www.burnleyfootballclub.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Cardiff City,Cardiff City Stadium,http://www.cardiffcityfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Charlton Athletic,The Valley,https://www.premierleague.com/clubs/31/Charlton-Athletic/overview
Chelsea,Stamford Bridge,https://www.chelseafc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Coventry City,Highfield Road,https://www.premierleague.com/clubs/5/Coventry-City/overview
Crystal Palace,Selhurst Park,http://www.cpfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Derby County,Pride Park Stadium,https://www.premierleague.com/clubs/28/Derby-County/overview
Everton,Goodison Park,http://www.evertonfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Fulham,Craven Cottage,http://www.fulhamfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Huddersfield Town,John Smith's Stadium,https://www.premierleague.com/clubs/159/Huddersfield-Town/overview
Hull City,KCOM Stadium,http://www.hullcitytigers.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Ipswich Town,Portman Road,https://www.premierleague.com/clubs/8/Ipswich-Town/overview
Leeds United,Elland Road,http://www.leedsunited.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Leicester City,King Power Stadium,https://www.premierleague.com/clubs/26/Leicester-City/overview
Liverpool,Anfield,http://www.liverpoolfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Manchester City,Etihad Stadium,http://www.mancity.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Manchester United,Old Trafford,http://www.manutd.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
