PlayerID,Club,Season
48285,Aston Villa,2021/2022
9199,Southampton,2021/2022
72541,Crystal Palace,2021/2022
90665,Watford,2021/2022
20113,Brentford,2021/2022
51480,Arsenal,2021/2022
68987,Manchester United,2021/2022
51774,Watford,2021/2022
52723,Manchester City,2021/2022
112742,Leicester City,2021/2022
26151,Crystal Palace,2021/2022
26151,Fulham,2020/2021
23742,Everton,2021/2022
121739,Watford,2021/2022
10467,Manchester City,2021/2022
10467,Manchester City,2019/2020
24708,Chelsea,2021/2022
24708,Chelsea,2020/2021
24708,Chelsea,2019/2020
51631,West Ham United,2021/2022
25281,Aston Villa,2021/2022
25281,Aston Villa,2020/2021
25281,Aston Villa,2019/2020
5748,West Ham United,2021/2022
5748,Fulham,2020/2021
11373,Chelsea,2021/2022
11373,Chelsea,2020/2021
11373,Chelsea,2019/2020
11373,Chelsea,2018/2019
31883,West Ham United,2021/2022
31883,West Ham United,2020/2021
123450,Watford,2021/2022
23750,Everton,2021/2022
23750,Everton,2020/2021
4859,Newcastle United,2021/2022
4859,Newcastle United,2020/2021
4859,Newcastle United,2019/2020
4859,Newcastle United,2018/2019
5110,Arsenal,2021/2022
5110,Arsenal,2020/2021
5110,Arsenal,2019/2020
5110,Arsenal,2018/2019
11293,Tottenham Hotspur,2021/2022
11293,Tottenham Hotspur,2020/2021
11293,Tottenham Hotspur,2019/2020
11293,Tottenham Hotspur,2018/2019
15114,Tottenham Hotspur,2021/2022
15114,Tottenham Hotspur,2020/2021
15114,Tottenham Hotspur,2019/2020
15114,Tottenham Hotspur,2018/2019
67217,Arsenal,2021/2022
15340,Liverpool,2021/2022
15340,Liverpool,2020/2021
15340,Liverpool,2019/2020
15340,Liverpool,2018/2019
5595,Crystal Palace,2021/2022
5595,Crystal Palace,2020/2021
5595,Crystal Palace,2019/2020
5595,Crystal Palace,2018/2019
3314,Leeds United,2021/2022
3314,Leeds United,2020/2021
26975,Arsenal,2021/2022
26975,Arsenal,2020/2021
4496,Chelsea,2021/2022
4496,Chelsea,2020/2021
4496,Chelsea,2019/2020
4496,Chelsea,2018/2019
69816,Watford,2021/2022
9762,Watford,2021/2022
9762,Watford,2019/2020
9762,Watford,2018/2019
20489,Aston Villa,2021/2022
12937,Manchester United,2021/2022
12937,Manchester United,2020/2021
12937,Manchester United,2019/2020
12937,Manchester United,2018/2019
11260,Chelsea,2021/2022
11260,Chelsea,2020/2021
11260,Chelsea,2019/2020
11260,Chelsea,2018/2019
4749,Chelsea,2021/2022
4749,Chelsea,2020/2021
4749,Chelsea,2019/2020
4749,Chelsea,2018/2019
66607,Liverpool,2021/2022
32435,West Ham United,2021/2022
32435,West Ham United,2020/2021
32435,West Ham United,2019/2020
32435,West Ham United,2018/2019
21317,Brentford,2021/2022
3513,Tottenham Hotspur,2021/2022
3513,Tottenham Hotspur,2020/2021
19871,Arsenal,2021/2022
19871,Arsenal,2020/2021
19871,Arsenal,2019/2020
63655,Brighton and Hove Albion,2021/2022
63655,Brighton and Hove Albion,2019/2020
63655,Brighton and Hove Albion,2018/2019
4291,Leeds United,2021/2022
4291,Leeds United,2020/2021
14623,Everton,2021/2022
14623,Everton,2020/2021
14623,Everton,2019/2020
14623,Everton,2018/2019
74776,Crystal Palace,2021/2022
74776,Crystal Palace,2019/2020
24773,Brentford,2021/2022
14426,Norwich City,2021/2022
2517,Burnley,2021/2022
2517,Burnley,2020/2021
2517,Burnley,2019/2020
2517,Burnley,2018/2019
4115,Aston Villa,2021/2022
4115,Chelsea,2021/2022
4115,Aston Villa,2020/2021
4115,Chelsea,2020/2021
